indice_tiempo,region_de_destino,categoria_del_hotel,facturacion_total_en_pesos,observaciones
2012-09-01,Patagonia,Para Hoteles,18851463,""
2012-10-01,Buenos Aires,1 y 2 estrellas,6662229,""
2012-10-01,Buenos Aires,3 estrellas/boutiques/aparts,17234336,""
2012-10-01,Buenos Aires,4 y 5 estrellas,22887556,""
2012-10-01,Buenos Aires,Para Hoteles,19203684,""
2012-10-01,CABA,1 y 2 estrellas,15672463,""
2012-10-01,CABA,3 estrellas/boutiques/aparts,68778997,""
2012-10-01,CABA,4 y 5 estrellas,227089373,""
2012-10-01,CABA,Para Hoteles,10902217,""
2012-10-01,Cuyo,1 y 2 estrellas,8662074,""
2012-10-01,Cuyo,3 estrellas/boutiques/aparts,23900064,""
2012-10-01,Cuyo,4 y 5 estrellas,63640596,""
2012-10-01,Cuyo,Para Hoteles,5283593,""
2012-10-01,Córdoba,1 y 2 estrellas,10423254,""
2012-10-01,Córdoba,3 estrellas/boutiques/aparts,16821284,""
2012-10-01,Córdoba,4 y 5 estrellas,14291005,""
2012-10-01,Córdoba,Para Hoteles,11659120,""
2012-10-01,Litoral,1 y 2 estrellas,8095179,""
2012-10-01,Litoral,3 estrellas/boutiques/aparts,30490373,""
2012-10-01,Litoral,4 y 5 estrellas,64327897,""
2012-10-01,Litoral,Para Hoteles,11182184,""
2012-10-01,Norte,1 y 2 estrellas,8234690,""
2012-10-01,Norte,3 estrellas/boutiques/aparts,23822482,""
2012-10-01,Norte,4 y 5 estrellas,43993333,""
2012-10-01,Norte,Para Hoteles,7217332,""
2012-10-01,Patagonia,1 y 2 estrellas,18648226,""
2012-10-01,Patagonia,3 estrellas/boutiques/aparts,50946128,""
2012-10-01,Patagonia,4 y 5 estrellas,54262027,""
2012-10-01,Patagonia,Para Hoteles,17626196,""
2012-11-01,Buenos Aires,1 y 2 estrellas,8820905,""
2012-11-01,Buenos Aires,3 estrellas/boutiques/aparts,27711274,""
2012-11-01,Buenos Aires,4 y 5 estrellas,32135438,""
2012-11-01,Buenos Aires,Para Hoteles,24845204,""
2012-11-01,CABA,1 y 2 estrellas,16355765,""
2012-11-01,CABA,3 estrellas/boutiques/aparts,73405855,""
2012-11-01,CABA,4 y 5 estrellas,253815250,""
2012-11-01,CABA,Para Hoteles,11453874,""
2012-11-01,Cuyo,1 y 2 estrellas,7485520,""
2012-11-01,Cuyo,3 estrellas/boutiques/aparts,23799123,""
2012-11-01,Cuyo,4 y 5 estrellas,61932443,""
2012-11-01,Cuyo,Para Hoteles,5267815,""
2012-11-01,Córdoba,1 y 2 estrellas,10791534,""
2012-11-01,Córdoba,3 estrellas/boutiques/aparts,18126198,""
2012-11-01,Córdoba,4 y 5 estrellas,15312716,""
2012-11-01,Córdoba,Para Hoteles,8440980,""
2012-11-01,Litoral,1 y 2 estrellas,9098905,""
2012-11-01,Litoral,3 estrellas/boutiques/aparts,28818014,""
2012-11-01,Litoral,4 y 5 estrellas,73768283,""
2012-11-01,Litoral,Para Hoteles,10428315,""
2012-11-01,Norte,1 y 2 estrellas,6760147,""
2012-11-01,Norte,3 estrellas/boutiques/aparts,20694579,""
2012-11-01,Norte,4 y 5 estrellas,40476558,""
2012-11-01,Norte,Para Hoteles,7318673,""
2012-11-01,Patagonia,1 y 2 estrellas,13701056,""
2012-11-01,Patagonia,3 estrellas/boutiques/aparts,58387833,""
2012-11-01,Patagonia,4 y 5 estrellas,71598338,""
2012-11-01,Patagonia,Para Hoteles,21738486,""
2012-12-01,Buenos Aires,1 y 2 estrellas,11174006,""
2012-12-01,Buenos Aires,3 estrellas/boutiques/aparts,35350351,""
2012-12-01,Buenos Aires,4 y 5 estrellas,35438996,""
2012-12-01,Buenos Aires,Para Hoteles,31920078,""
2012-12-01,CABA,1 y 2 estrellas,12597168,""
2012-12-01,CABA,3 estrellas/boutiques/aparts,62620947,""
2012-12-01,CABA,4 y 5 estrellas,226361905,""
2012-12-01,CABA,Para Hoteles,11682178,""
2012-12-01,Cuyo,1 y 2 estrellas,6441497,""
2012-12-01,Cuyo,3 estrellas/boutiques/aparts,20671169,""
2012-12-01,Cuyo,4 y 5 estrellas,50013715,""
2012-12-01,Cuyo,Para Hoteles,4858977,""
2012-12-01,Córdoba,1 y 2 estrellas,10284459,""
2012-12-01,Córdoba,3 estrellas/boutiques/aparts,18211058,""
2012-12-01,Córdoba,4 y 5 estrellas,14840596,""
2012-12-01,Córdoba,Para Hoteles,10585815,""
2012-12-01,Litoral,1 y 2 estrellas,8936241,""
2012-12-01,Litoral,3 estrellas/boutiques/aparts,26432052,""
2012-12-01,Litoral,4 y 5 estrellas,55914852,""
2012-12-01,Litoral,Para Hoteles,9993863,""
2012-12-01,Norte,1 y 2 estrellas,4730823,""
2012-12-01,Norte,3 estrellas/boutiques/aparts,11629311,""
2012-12-01,Norte,4 y 5 estrellas,28223699,""
2012-12-01,Norte,Para Hoteles,5809132,""
2012-12-01,Patagonia,1 y 2 estrellas,18959967,""
2012-12-01,Patagonia,3 estrellas/boutiques/aparts,49510719,""
2012-12-01,Patagonia,4 y 5 estrellas,65465430,""
2012-12-01,Patagonia,Para Hoteles,27728818,""
2013-01-01,Buenos Aires,1 y 2 estrellas,49329717,""
2013-01-01,Buenos Aires,3 estrellas/boutiques/aparts,94226701,""
2013-01-01,Buenos Aires,4 y 5 estrellas,82354616,""
2013-01-01,Buenos Aires,Para Hoteles,98142714,""
2013-01-01,CABA,1 y 2 estrellas,11032484,""
2013-01-01,CABA,3 estrellas/boutiques/aparts,50079533,""
2013-01-01,CABA,4 y 5 estrellas,164964081,""
2013-01-01,CABA,Para Hoteles,10789773,""
2013-01-01,Cuyo,1 y 2 estrellas,9722768,""
2013-01-01,Cuyo,3 estrellas/boutiques/aparts,34592853,""
2013-01-01,Cuyo,4 y 5 estrellas,86395560,""
2013-01-01,Cuyo,Para Hoteles,8460424,""
2013-01-01,Córdoba,1 y 2 estrellas,32788753,""
2013-01-01,Córdoba,3 estrellas/boutiques/aparts,40703170,""
2013-01-01,Córdoba,4 y 5 estrellas,17724631,""
2013-01-01,Córdoba,Para Hoteles,69633842,""
2013-01-01,Litoral,1 y 2 estrellas,10955538,""
2013-01-01,Litoral,3 estrellas/boutiques/aparts,28610368,""
2013-01-01,Litoral,4 y 5 estrellas,55079319,""
2013-01-01,Litoral,Para Hoteles,20161402,""
2013-01-01,Norte,1 y 2 estrellas,7252372,""
2013-01-01,Norte,3 estrellas/boutiques/aparts,29074351,""
2013-01-01,Norte,4 y 5 estrellas,29321625,""
2013-01-01,Norte,Para Hoteles,12387598,""
2013-01-01,Patagonia,1 y 2 estrellas,33048952,""
2013-01-01,Patagonia,3 estrellas/boutiques/aparts,78830932,""
2013-01-01,Patagonia,4 y 5 estrellas,91023389,""
2013-01-01,Patagonia,Para Hoteles,63504961,""
2013-02-01,Buenos Aires,1 y 2 estrellas,36839233,""
2013-02-01,Buenos Aires,3 estrellas/boutiques/aparts,67460773,""
2013-02-01,Buenos Aires,4 y 5 estrellas,56645186,""
2013-02-01,Buenos Aires,Para Hoteles,71258108,""
2013-02-01,CABA,1 y 2 estrellas,11142222,""
2013-02-01,CABA,3 estrellas/boutiques/aparts,49177561,""
2013-02-01,CABA,4 y 5 estrellas,172525740,""
2013-02-01,CABA,Para Hoteles,12930737,""
2013-02-01,Cuyo,1 y 2 estrellas,8128966,""
2013-02-01,Cuyo,3 estrellas/boutiques/aparts,27523548,""
2013-02-01,Cuyo,4 y 5 estrellas,55793054,""
2013-02-01,Cuyo,Para Hoteles,7136742,""
2013-02-01,Córdoba,1 y 2 estrellas,26376165,""
2013-02-01,Córdoba,3 estrellas/boutiques/aparts,35189056,""
2013-02-01,Córdoba,4 y 5 estrellas,16678717,""
2013-02-01,Córdoba,Para Hoteles,48662532,""
2013-02-01,Litoral,1 y 2 estrellas,11270966,""
2013-02-01,Litoral,3 estrellas/boutiques/aparts,25681368,""
2013-02-01,Litoral,4 y 5 estrellas,52797387,""
2013-02-01,Litoral,Para Hoteles,19883313,""
2013-02-01,Norte,1 y 2 estrellas,6515945,""
2013-02-01,Norte,3 estrellas/boutiques/aparts,27078413,""
2013-02-01,Norte,4 y 5 estrellas,26607817,""
2013-02-01,Norte,Para Hoteles,10316769,""
2013-02-01,Patagonia,1 y 2 estrellas,24880400,""
2013-02-01,Patagonia,3 estrellas/boutiques/aparts,60575065,""
2013-02-01,Patagonia,4 y 5 estrellas,74908812,""
2013-02-01,Patagonia,Para Hoteles,46682654,""
2013-03-01,Buenos Aires,1 y 2 estrellas,16922430,""
2013-03-01,Buenos Aires,3 estrellas/boutiques/aparts,32303221,""
2013-03-01,Buenos Aires,4 y 5 estrellas,36477838,""
2013-03-01,Buenos Aires,Para Hoteles,34271672,""
2013-03-01,CABA,1 y 2 estrellas,14582738,""
2013-03-01,CABA,3 estrellas/boutiques/aparts,63261827,""
2013-03-01,CABA,4 y 5 estrellas,223702469,""
2013-03-01,CABA,Para Hoteles,13613233,""
2013-03-01,Cuyo,1 y 2 estrellas,9671135,""
2013-03-01,Cuyo,3 estrellas/boutiques/aparts,30387824,""
2013-03-01,Cuyo,4 y 5 estrellas,72096411,""
2013-03-01,Cuyo,Para Hoteles,5341438,""
2013-03-01,Córdoba,1 y 2 estrellas,13945938,""
2013-03-01,Córdoba,3 estrellas/boutiques/aparts,25748153,""
2013-03-01,Córdoba,4 y 5 estrellas,14603859,""
2013-03-01,Córdoba,Para Hoteles,28558398,""
2013-03-01,Litoral,1 y 2 estrellas,7965336,""
2013-03-01,Litoral,3 estrellas/boutiques/aparts,27729308,""
2013-03-01,Litoral,4 y 5 estrellas,68485828,""
2013-03-01,Litoral,Para Hoteles,11288596,""
2013-03-01,Norte,1 y 2 estrellas,7781942,""
2013-03-01,Norte,3 estrellas/boutiques/aparts,36959164,""
2013-03-01,Norte,4 y 5 estrellas,52041750,""
2013-03-01,Norte,Para Hoteles,10268659,""
2013-03-01,Patagonia,1 y 2 estrellas,19018633,""
2013-03-01,Patagonia,3 estrellas/boutiques/aparts,54264252,""
2013-03-01,Patagonia,4 y 5 estrellas,59735931,""
2013-03-01,Patagonia,Para Hoteles,30827890,""
2013-04-01,Buenos Aires,1 y 2 estrellas,7641702,""
2013-04-01,Buenos Aires,3 estrellas/boutiques/aparts,14707566,""
2013-04-01,Buenos Aires,4 y 5 estrellas,19350984,""
2013-04-01,Buenos Aires,Para Hoteles,11194353,""
2013-04-01,CABA,1 y 2 estrellas,14173584,""
2013-04-01,CABA,3 estrellas/boutiques/aparts,58597599,""
2013-04-01,CABA,4 y 5 estrellas,214449845,""
2013-04-01,CABA,Para Hoteles,13209944,""
2013-04-01,Cuyo,1 y 2 estrellas,8615999,""
2013-04-01,Cuyo,3 estrellas/boutiques/aparts,25258360,""
2013-04-01,Cuyo,4 y 5 estrellas,50619528,""
2013-04-01,Cuyo,Para Hoteles,3243926,""
2013-04-01,Córdoba,1 y 2 estrellas,8397380,""
2013-04-01,Córdoba,3 estrellas/boutiques/aparts,14661982,""
2013-04-01,Córdoba,4 y 5 estrellas,12921970,""
2013-04-01,Córdoba,Para Hoteles,12719284,""
2013-04-01,Litoral,1 y 2 estrellas,7721381,""
2013-04-01,Litoral,3 estrellas/boutiques/aparts,25991237,""
2013-04-01,Litoral,4 y 5 estrellas,55287786,""
2013-04-01,Litoral,Para Hoteles,8385722,""
2013-04-01,Norte,1 y 2 estrellas,7625138,""
2013-04-01,Norte,3 estrellas/boutiques/aparts,29604245,""
2013-04-01,Norte,4 y 5 estrellas,43030338,""
2013-04-01,Norte,Para Hoteles,7858401,""
2013-04-01,Patagonia,1 y 2 estrellas,13252582,""
2013-04-01,Patagonia,3 estrellas/boutiques/aparts,34395179,""
2013-04-01,Patagonia,4 y 5 estrellas,35316958,""
2013-04-01,Patagonia,Para Hoteles,14537460,""
2013-05-01,Buenos Aires,1 y 2 estrellas,3152723,""
2013-05-01,Buenos Aires,3 estrellas/boutiques/aparts,11468624,""
2013-05-01,Buenos Aires,4 y 5 estrellas,14349907,""
2013-05-01,Buenos Aires,Para Hoteles,6793244,""
2013-05-01,CABA,1 y 2 estrellas,15751765,""
2013-05-01,CABA,3 estrellas/boutiques/aparts,60148210,""
2013-05-01,CABA,4 y 5 estrellas,205481157,""
2013-05-01,CABA,Para Hoteles,15123609,""
2013-05-01,Cuyo,1 y 2 estrellas,6922573,""
2013-05-01,Cuyo,3 estrellas/boutiques/aparts,21337173,""
2013-05-01,Cuyo,4 y 5 estrellas,60786070,""
